       1       1      49     564       1       0    -.93     .00     .05    -.11
       2       1      49     566       0       0    -.93     .00     .05    -.11
       3       1      49     676       0       0    -.93     .00     .05    -.11
       4       1      49     694       0       0    -.93     .00     .05    -.11
       5       1      49     667       1       0    -.93     .00     .05    -.11
       6       1      49     612       1       0    -.93     .00     .05    -.11
       7       1      49     599       0       0    -.93     .00     .05    -.11
      24       2      13     589       1       1    -.45     .50     .67    -.22
      16       2      13     542       0       0    -.45     .50     .67    -.22
       9       2      13     602       1       1    -.45     .50     .67    -.22
      10       2      13     545       0       0    -.45     .50     .67    -.22
      11       2      13     537       0       1    -.45     .50     .67    -.22
      12       2      13     571       0       0    -.45     .50     .67    -.22
      13       2      13     640       0       0    -.45     .50     .67    -.22
      14       2      13     559       1       1    -.45     .50     .67    -.22
      15       2      13     547       0       1    -.45     .50     .67    -.22
      17       2      13     617       0       0    -.45     .50     .67    -.22
      18       2      13     567       0       0    -.45     .50     .67    -.22
      19       2      13     589       1       1    -.45     .50     .67    -.22
      20       2      13     578       1       1    -.45     .50     .67    -.22
      21       2      13     574       1       1    -.45     .50     .67    -.22
      22       2      13     556       1       0    -.45     .50     .67    -.22
      25       2      13     564       0       1    -.45     .50     .67    -.22
      26       2      13     560       1       1    -.45     .50     .67    -.22
      27       2      13     574       1       0    -.45     .50     .67    -.22
      28       2      13     524       0       0    -.45     .50     .67    -.22
      29       2      13     542       1       0    -.45     .50     .67    -.22
       8       2      13     515       1       1    -.45     .50     .67    -.22
      23       2      13     598       0       0    -.45     .50     .67    -.22
      30       3      13     612       1       0    -.78     .00     .67    -.22
      31       4       9     608       1       1   -1.34     .89     .78    -.55
      32       4       9     557       0       1   -1.34     .89     .78    -.55
      33       4       9     560       0       1   -1.34     .89     .78    -.55
      34       4       9     556       1       1   -1.34     .89     .78    -.55
      35       4       9     557       1       0   -1.34     .89     .78    -.55
      36       4       9     551       0       1   -1.34     .89     .78    -.55
      37       4       9     543       1       1   -1.34     .89     .78    -.55
      38       4       9     574       1       1   -1.34     .89     .78    -.55
      39       4       9     553       1       1   -1.34     .89     .78    -.55
      40       4       9     593       1       1   -1.34     .89     .78    -.55
      41       4       9     537       1       1   -1.34     .89     .78    -.55
      42       4       9     535       0       1   -1.34     .89     .78    -.55
      43       4       9     557       0       1   -1.34     .89     .78    -.55
      44       4       9     545       0       1   -1.34     .89     .78    -.55
      46       4       9     593       1       1   -1.34     .89     .78    -.55
      47       4       9     584       1       0   -1.34     .89     .78    -.55
      48       4       9     586       0       1   -1.34     .89     .78    -.55
      45       4       9     540       1       1   -1.34     .89     .78    -.55
      49       5      23     592       1       0   -1.24     .33     .35     .17
      50       5      23     613       0       0   -1.24     .33     .35     .17
      51       5      23     585       0       1   -1.24     .33     .35     .17
      52       5      23     574       0       0   -1.24     .33     .35     .17
      53       5      23     573       0       1   -1.24     .33     .35     .17
      54       5      23     554       0       1   -1.24     .33     .35     .17
      55       5      23     575       1       1   -1.24     .33     .35     .17
      57       5      23     557       0       0   -1.24     .33     .35     .17
      58       5      23     595       1       0   -1.24     .33     .35     .17
      59       5      23     643       0       0   -1.24     .33     .35     .17
      60       5      23     531       0       1   -1.24     .33     .35     .17
      61       5      23     550       0       0   -1.24     .33     .35     .17
      62       5      23     561       0       1   -1.24     .33     .35     .17
      63       5      23     584       0       0   -1.24     .33     .35     .17
      64       5      23     588       0       0   -1.24     .33     .35     .17
      65       5      23     553       0       0   -1.24     .33     .35     .17
      66       5      23     543       1       0   -1.24     .33     .35     .17
      56       5      23     588       0       0   -1.24     .33     .35     .17
      68       6      49     528       0       0    -.70     .50     .05    -.11
      67       6      49     630       0       1    -.70     .50     .05    -.11
      71       7      56     554       0       1     .14     .21     .34     .26
      69       7      56     660       0       0     .14     .21     .34     .26
      70       7      56     645       1       0     .14     .21     .34     .26
      72       7      56     602       1       1     .14     .21     .34     .26
      73       7      56     580       1       0     .14     .21     .34     .26
      74       7      56     615       1       0     .14     .21     .34     .26
      75       7      56     573       1       0     .14     .21     .34     .26
      76       7      56     630       0       0     .14     .21     .34     .26
      77       7      56     567       0       0     .14     .21     .34     .26
      78       7      56     651       0       1     .14     .21     .34     .26
      79       7      56     591       0       0     .14     .21     .34     .26
      80       7      56     602       0       0     .14     .21     .34     .26
      81       7      56     654       0       0     .14     .21     .34     .26
      82       7      56     648       1       0     .14     .21     .34     .26
      83       8      51     530       1       1     .65     .82     .79     .47
      99       8      51     612       0       1     .65     .82     .79     .47
      97       8      51     638       1       1     .65     .82     .79     .47
      84       8      51     595       1       1     .65     .82     .79     .47
      85       8      51     657       1       1     .65     .82     .79     .47
      86       8      51     593       0       1     .65     .82     .79     .47
      87       8      51     568       1       1     .65     .82     .79     .47
      88       8      51     620       0       0     .65     .82     .79     .47
      89       8      51     672       1       0     .65     .82     .79     .47
      90       8      51     595       1       0     .65     .82     .79     .47
      91       8      51     526       1       1     .65     .82     .79     .47
      92       8      51     643       0       1     .65     .82     .79     .47
      93       8      51     628       0       1     .65     .82     .79     .47
      94       8      51     553       1       1     .65     .82     .79     .47
      95       8      51     610       1       1     .65     .82     .79     .47
      96       8      51     632       0       1     .65     .82     .79     .47
      98       8      51     592       1       1     .65     .82     .79     .47
     100       9      16     561       0       1    -.53    1.00     .36    -.53
     108      10      25     547       0       1    1.00     .20     .11     .48
     101      10      25     560       0       0    1.00     .20     .11     .48
     102      10      25     651       1       0    1.00     .20     .11     .48
     103      10      25     615       0       0    1.00     .20     .11     .48
     104      10      25     613       0       0    1.00     .20     .11     .48
     105      10      25     620       1       1    1.00     .20     .11     .48
     106      10      25     617       1       0    1.00     .20     .11     .48
     107      10      25     605       1       0    1.00     .20     .11     .48
     109      10      25     672       1       0    1.00     .20     .11     .48
     110      10      25     654       0       0    1.00     .20     .11     .48
     111      10      25     601       1       0    1.00     .20     .11     .48
     112      10      25     564       0       1    1.00     .20     .11     .48
     113      10      25     634       0       0    1.00     .20     .11     .48
     114      10      25     645       1       0    1.00     .20     .11     .48
     115      10      25     667       1       0    1.00     .20     .11     .48
     116      10      25     640       0       0    1.00     .20     .11     .48
     117      10      25     643       1       0    1.00     .20     .11     .48
     118      10      25     601       0       0    1.00     .20     .11     .48
     119      10      25     563       1       1    1.00     .20     .11     .48
     120      10      25     626       1       0    1.00     .20     .11     .48
     121      11      14     547       1       1     .32    1.00     .58    -.46
     148      12      45     548       0       0     .11     .15     .23     .01
     146      12      45     563       0       1     .11     .15     .23     .01
     122      12      45     630       0       0     .11     .15     .23     .01
     123      12      45     585       1       1     .11     .15     .23     .01
     124      12      45     624       0       0     .11     .15     .23     .01
